Ground Points:
Point 120: X=-205.779, Y=517.571, Z=1964.000
Point 121: X=-202.408, Y=517.571, Z=1964.000
Point 122: X=-200.152, Y=520.470, Z=1975.000
Point 123: X=-196.762, Y=520.470, Z=1975.000
Point 124: X=-193.372, Y=520.470, Z=1975.000
Point 125: X=-189.982, Y=520.470, Z=1975.000
Point 126: X=-186.593, Y=520.470, Z=1975.000
Point 127: X=-183.203, Y=520.470, Z=1975.000
Point 128: X=-179.813, Y=520.470, Z=1975.000
Point 129: X=-176.423, Y=520.470, Z=1975.000
Point 130: X=-173.033, Y=520.470, Z=1975.000
Point 131: X=-168.699, Y=517.571, Z=1964.000
Point 132: X=-165.328, Y=517.571, Z=1964.000
Point 133: X=-161.957, Y=517.571, Z=1964.000
Point 134: X=-158.586, Y=517.571, Z=1964.000
Point 135: X=-155.215, Y=517.571, Z=1964.000
Point 136: X=-151.844, Y=517.571, Z=1964.000
Point 137: X=-148.473, Y=517.571, Z=1964.000
Point 138: X=-145.102, Y=517.571, Z=1964.000
Point 139: X=-141.731, Y=517.571, Z=1964.000
Point 140: X=-138.360, Y=517.571, Z=1964.000
Point 141: X=-134.989, Y=517.571, Z=1964.000
Point 142: X=-131.618, Y=517.571, Z=1964.000
Point 143: X=-111.392, Y=517.571, Z=1964.000
Point 144: X=-108.021, Y=517.571, Z=1964.000
Point 145: X=-104.650, Y=517.571, Z=1964.000
Point 146: X=-101.847, Y=520.470, Z=1975.000
Point 147: X=-98.457, Y=520.470, Z=1975.000
Point 148: X=-95.067, Y=520.470, Z=1975.000
Point 149: X=-91.677, Y=520.470, Z=1975.000
Point 150: X=-88.287, Y=520.470, Z=1975.000
Point 151: X=-84.898, Y=520.470, Z=1975.000
Point 152: X=-81.508, Y=520.470, Z=1975.000
Point 153: X=-78.118, Y=520.470, Z=1975.000
Point 154: X=-74.728, Y=520.470, Z=1975.000
Point 155: X=-71.338, Y=520.470, Z=1975.000
Point 156: X=-67.948, Y=520.470, Z=1975.000
Point 157: X=-64.559, Y=520.470, Z=1975.000
Point 158: X=-61.169, Y=520.470, Z=1975.000
Point 159: X=-57.779, Y=520.470, Z=1975.000
Point 160: X=-54.389, Y=520.470, Z=1975.000
Point 161: X=-50.999, Y=520.470, Z=1975.000
Point 162: X=-47.609, Y=520.470, Z=1975.000
Point 163: X=-44.220, Y=520.470, Z=1975.000
Point 164: X=-40.830, Y=520.470, Z=1975.000
Point 165: X=-37.440, Y=520.470, Z=1975.000
Point 166: X=-34.050, Y=520.470, Z=1975.000
Point 167: X=-30.660, Y=520.470, Z=1975.000
Point 168: X=-27.270, Y=520.470, Z=1975.000
Point 169: X=-23.881, Y=520.470, Z=1975.000
Point 170: X=-20.491, Y=520.470, Z=1975.000
Point 171: X=-17.101, Y=520.470, Z=1975.000
Point 172: X=-13.635, Y=517.571, Z=1964.000
Point 173: X=-10.264, Y=517.571, Z=1964.000
Point 174: X=-6.893, Y=517.571, Z=1964.000
Point 175: X=-3.522, Y=517.571, Z=1964.000
Point 176: X=-0.151, Y=517.571, Z=1964.000
Point 177: X=3.220, Y=517.571, Z=1964.000
Point 178: X=6.591, Y=517.571, Z=1964.000
Point 179: X=10.018, Y=520.470, Z=1975.000
Point 180: X=13.408, Y=520.470, Z=1975.000
Point 181: X=16.797, Y=520.470, Z=1975.000
Point 182: X=20.075, Y=517.571, Z=1964.000
Point 183: X=23.446, Y=517.571, Z=1964.000
Point 184: X=26.967, Y=520.470, Z=1975.000
Point 185: X=30.357, Y=520.470, Z=1975.000
Point 186: X=33.747, Y=520.470, Z=1975.000
Point 187: X=37.136, Y=520.470, Z=1975.000
Point 188: X=40.526, Y=520.470, Z=1975.000
Point 189: X=43.672, Y=517.571, Z=1964.000
Point 190: X=47.042, Y=517.571, Z=1964.000
Point 191: X=50.413, Y=517.571, Z=1964.000
Point 192: X=53.784, Y=517.571, Z=1964.000
Point 193: X=57.155, Y=517.571, Z=1964.000
Point 194: X=60.526, Y=517.571, Z=1964.000
Point 195: X=63.897, Y=517.571, Z=1964.000
Point 196: X=67.268, Y=517.571, Z=1964.000
Point 197: X=70.639, Y=517.571, Z=1964.000
Point 198: X=74.010, Y=517.571, Z=1964.000
Point 199: X=77.381, Y=517.571, Z=1964.000
Point 200: X=80.752, Y=517.571, Z=1964.000
Point 201: X=84.123, Y=517.571, Z=1964.000
Point 202: X=87.984, Y=520.470, Z=1975.000
Point 203: X=842.587, Y=517.571, Z=1964.000
Point 204: X=845.958, Y=517.571, Z=1964.000
Point 205: X=933.603, Y=517.571, Z=1964.000
Point 206: X=1041.474, Y=517.571, Z=1964.000
Point 207: X=1044.845, Y=517.571, Z=1964.000
Point 208: X=1051.587, Y=517.571, Z=1964.000
Point 209: X=1054.958, Y=517.571, Z=1964.000
Point 210: X=1078.554, Y=517.571, Z=1964.000
Point 211: X=-204.522, Y=517.759, Z=1952.000
Point 212: X=-201.171, Y=517.759, Z=1952.000
Point 213: X=-199.037, Y=520.942, Z=1964.000
Point 214: X=-195.666, Y=520.942, Z=1964.000
Point 215: X=-192.295, Y=520.942, Z=1964.000
Point 216: X=-188.924, Y=520.942, Z=1964.000
Point 217: X=-185.553, Y=520.942, Z=1964.000
Point 218: X=-182.182, Y=520.942, Z=1964.000
Point 219: X=-178.811, Y=520.942, Z=1964.000
Point 220: X=-175.440, Y=520.942, Z=1964.000
Point 221: X=-172.070, Y=520.942, Z=1964.000
Point 222: X=-168.699, Y=520.942, Z=1964.000
Point 223: X=-165.328, Y=520.942, Z=1964.000
Point 224: X=-160.967, Y=517.759, Z=1952.000
Point 225: X=-157.617, Y=517.759, Z=1952.000
Point 226: X=-154.266, Y=517.759, Z=1952.000
Point 227: X=-150.916, Y=517.759, Z=1952.000
Point 228: X=-147.566, Y=517.759, Z=1952.000
Point 229: X=-144.215, Y=517.759, Z=1952.000
Point 230: X=-140.865, Y=517.759, Z=1952.000
Point 231: X=-137.515, Y=517.759, Z=1952.000
Point 232: X=-134.164, Y=517.759, Z=1952.000
Point 233: X=-130.814, Y=517.759, Z=1952.000
Point 234: X=-127.464, Y=517.759, Z=1952.000
Point 235: X=-124.113, Y=517.759, Z=1952.000
Point 236: X=-117.412, Y=517.759, Z=1952.000
Point 237: X=-110.712, Y=517.759, Z=1952.000
Point 238: X=-107.361, Y=517.759, Z=1952.000
Point 239: X=-104.011, Y=517.759, Z=1952.000
Point 240: X=-101.279, Y=520.942, Z=1964.000
Point 241: X=-97.909, Y=520.942, Z=1964.000
Point 242: X=-94.538, Y=520.942, Z=1964.000
Point 243: X=-91.167, Y=520.942, Z=1964.000
Point 244: X=-88.287, Y=523.860, Z=1975.000
Point 245: X=-84.898, Y=523.860, Z=1975.000
Point 246: X=-81.054, Y=520.942, Z=1964.000
Point 247: X=-77.683, Y=520.942, Z=1964.000
Point 248: X=-74.728, Y=523.860, Z=1975.000
Point 249: X=-70.941, Y=520.942, Z=1964.000
Point 250: X=-67.570, Y=520.942, Z=1964.000
Point 251: X=-64.199, Y=520.942, Z=1964.000
Point 252: X=-60.828, Y=520.942, Z=1964.000
Point 253: X=-57.457, Y=520.942, Z=1964.000
Point 254: X=-54.086, Y=520.942, Z=1964.000
Point 255: X=-50.715, Y=520.942, Z=1964.000
Point 256: X=-47.344, Y=520.942, Z=1964.000
Point 257: X=-43.973, Y=520.942, Z=1964.000
Point 258: X=-40.602, Y=520.942, Z=1964.000
Point 259: X=-37.440, Y=523.860, Z=1975.000
Point 260: X=-33.860, Y=520.942, Z=1964.000
Point 261: X=-30.489, Y=520.942, Z=1964.000
Point 262: X=-27.119, Y=520.942, Z=1964.000
Point 263: X=-23.748, Y=520.942, Z=1964.000
Point 264: X=-20.377, Y=520.942, Z=1964.000
Point 265: X=-17.006, Y=520.942, Z=1964.000
Point 266: X=-13.635, Y=520.942, Z=1964.000
Point 267: X=-10.264, Y=520.942, Z=1964.000
Point 268: X=-6.851, Y=517.759, Z=1952.000
Point 269: X=-3.522, Y=520.942, Z=1964.000
Point 270: X=-0.150, Y=517.759, Z=1952.000
Point 271: X=3.200, Y=517.759, Z=1952.000
Point 272: X=6.591, Y=520.942, Z=1964.000
Point 273: X=9.962, Y=520.942, Z=1964.000
Point 274: X=13.333, Y=520.942, Z=1964.000
Point 275: X=16.704, Y=520.942, Z=1964.000
Point 276: X=19.952, Y=517.759, Z=1952.000
Point 277: X=23.446, Y=520.942, Z=1964.000
Point 278: X=26.817, Y=520.942, Z=1964.000
Point 279: X=30.188, Y=520.942, Z=1964.000
Point 280: X=33.559, Y=520.942, Z=1964.000
Point 281: X=36.930, Y=520.942, Z=1964.000
Point 282: X=40.301, Y=520.942, Z=1964.000
Point 283: X=43.405, Y=517.759, Z=1952.000
Point 284: X=47.042, Y=520.942, Z=1964.000
Point 285: X=50.105, Y=517.759, Z=1952.000
Point 286: X=53.456, Y=517.759, Z=1952.000
Point 287: X=56.806, Y=517.759, Z=1952.000
Point 288: X=60.156, Y=517.759, Z=1952.000
Point 289: X=63.507, Y=517.759, Z=1952.000
Point 290: X=67.268, Y=520.942, Z=1964.000
Point 291: X=70.639, Y=520.942, Z=1964.000
Point 292: X=74.010, Y=520.942, Z=1964.000
Point 293: X=77.381, Y=520.942, Z=1964.000
Point 294: X=80.752, Y=520.942, Z=1964.000
Point 295: X=84.123, Y=520.942, Z=1964.000
Point 296: X=1035.110, Y=517.759, Z=1952.000
Point 297: X=1038.461, Y=517.759, Z=1952.000
Point 298: X=-206.701, Y=518.172, Z=1941.000
Point 299: X=-203.369, Y=518.172, Z=1941.000
Point 300: X=-200.038, Y=518.172, Z=1941.000
Point 301: X=-197.821, Y=521.109, Z=1952.000
Point 302: X=-194.471, Y=521.109, Z=1952.000
Point 303: X=-191.120, Y=521.109, Z=1952.000
Point 304: X=-187.770, Y=521.109, Z=1952.000
Point 305: X=-184.420, Y=521.109, Z=1952.000
Point 306: X=-182.182, Y=524.312, Z=1964.000
Point 307: X=-177.719, Y=521.109, Z=1952.000
Point 308: X=-174.369, Y=521.109, Z=1952.000
Point 309: X=-171.018, Y=521.109, Z=1952.000
Point 310: X=-167.668, Y=521.109, Z=1952.000
Point 311: X=-164.317, Y=521.109, Z=1952.000
Point 312: X=-160.060, Y=518.172, Z=1941.000
Point 313: X=-156.729, Y=518.172, Z=1941.000
Point 314: X=-153.397, Y=518.172, Z=1941.000
Point 315: X=-150.066, Y=518.172, Z=1941.000
Point 316: X=-147.566, Y=521.109, Z=1952.000
Point 317: X=-143.403, Y=518.172, Z=1941.000
Point 318: X=-140.865, Y=521.109, Z=1952.000
Point 319: X=-137.515, Y=521.109, Z=1952.000
Point 320: X=-133.408, Y=518.172, Z=1941.000
Point 321: X=-130.077, Y=518.172, Z=1941.000
Point 322: X=-126.745, Y=518.172, Z=1941.000
